accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2024-01-20,1:08:00 PM,субота,місто,Львів,Сихівський,вулиця,Стрийська,45,null,зіткнення бокове,"порушення правил маневрування, порушення правил проїзду перехресть",5,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.806862,24.019042
2024-01-20,1:05:00 PM,субота,місто,Львів,Франківський,вулиця,Наукова,55,null,наїзд на пішохода - на регульованому пішохідному переході,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.805076,23.985938
2024-01-23,8:31:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",1,null,зіткнення лобове,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.869788,24.027228
2024-01-23,9:45:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Демнянська,4,null,зіткнення з задньою частиною тз,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.79946,24.030849
2024-02-16,10:20:00 AM,п'ятниця,місто,Львів,Галицький,вулиця,Папарівка,14,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.851678,24.037018
2024-01-12,6:26:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Київська,31,null,зіткнення з задньою частиною тз,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833678,24.007133
2024-02-09,9:40:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Зубрівська,77а,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794449,24.059941
2024-01-18,5:50:00 PM,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,80,null,наїзд на пішохода - на нерегульованому пішохідному переході,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84678,24.004472
2024-01-26,6:45:00 PM,п'ятниця,село,Гряда,Шевченківський,null,null,null,М09,зіткнення з задньою частиною тз,порушення швидкості руху,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,49.933147,24.051315
2024-01-28,2:30:00 PM,неділя,місто,Львів,Залізничний,вулиця,Кульпарківська,111,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.813187,23.983305
